Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,475.500000,477.200012,472.524994,476.024994,441.896484,1772470
2015-01-02,475.200012,484.649994,475.200012,482.649994,448.046478,2950192
2015-01-05,485.000000,485.274994,477.549988,478.575012,444.263641,2398000
2015-01-06,477.000000,478.274994,468.774994,471.125000,437.347809,4109840
2015-01-07,469.850006,475.674988,468.125000,472.500000,438.624237,2873056
2015-01-08,477.125000,484.475006,474.100006,482.424988,447.837646,4762912
2015-01-09,486.450012,490.000000,483.299988,487.825012,452.850494,4492592
2015-01-12,484.700012,487.200012,482.250000,483.524994,448.858734,2063206
2015-01-13,484.475006,485.975006,477.850006,481.674988,447.141418,2914174
2015-01-14,480.024994,487.325012,479.850006,481.950012,447.396698,1842616
2015-01-15,495.000000,499.100006,485.375000,496.575012,460.973175,5699238
2015-01-16,501.100006,507.450012,499.274994,500.674988,464.779175,3910654
2015-01-19,506.625000,510.000000,501.475006,502.274994,466.264496,2119746
2015-01-20,505.000000,513.500000,501.000000,510.475006,473.876587,4252902
2015-01-21,513.700012,516.474976,509.174988,509.975006,473.412445,3370306
2015-01-22,512.500000,516.250000,509.274994,510.625000,474.015839,3235340
2015-01-23,515.000000,524.000000,512.200012,521.400024,484.018372,4993956
2015-01-27,521.500000,538.875000,520.450012,537.025024,498.523132,4981200
2015-01-28,535.000000,546.599976,527.500000,529.174988,491.235931,5682470
2015-01-29,537.500000,550.299988,530.500000,547.500000,508.247101,10283808
2015-01-30,547.275024,547.275024,532.125000,538.674988,500.054779,5285208
2015-02-02,534.250000,546.500000,526.174988,540.799988,502.027435,2855176
2015-02-03,539.250000,541.099976,527.650024,532.049988,493.904785,5100344
2015-02-04,531.500000,540.400024,528.625000,533.849976,495.575653,3098756
2015-02-05,537.500000,546.400024,535.174988,538.250000,499.660248,4029574
2015-02-06,538.500000,539.474976,525.025024,526.750000,488.984741,3451560
2015-02-09,523.500000,525.875000,517.250000,520.049988,482.765106,2615948
2015-02-10,515.000000,531.150024,515.000000,527.224976,489.425659,4637876
2015-02-11,529.000000,532.400024,526.500000,529.200012,491.259125,2080794
2015-02-12,532.549988,540.950012,526.349976,538.000000,499.428101,2762870
2015-02-13,540.599976,541.000000,531.799988,532.900024,494.693848,3857250
2015-02-16,537.900024,542.500000,531.250000,533.775024,495.506134,3694358
2015-02-18,533.775024,541.474976,528.525024,537.400024,498.871216,2690846
2015-02-19,537.000000,542.450012,531.900024,539.900024,501.192017,2253502
2015-02-20,541.500000,544.950012,534.250000,536.525024,498.058929,3103012
2015-02-23,538.549988,540.775024,531.000000,533.750000,495.482910,2790782
2015-02-24,535.150024,535.500000,528.549988,533.825012,495.552551,2923144
2015-02-25,535.000000,537.400024,525.000000,526.224976,488.497375,2324262
2015-02-26,526.825012,528.000000,517.549988,519.075012,481.860016,6213472
2015-02-27,522.724976,529.275024,522.724976,527.000000,489.216827,5130892
2015-02-28,null,null,null,null,null,null
2015-03-02,540.174988,549.500000,534.000000,541.275024,502.468384,7192616
2015-03-03,543.224976,546.000000,538.525024,541.674988,502.839752,3014674
2015-03-04,552.500000,554.650024,530.000000,532.650024,494.461731,6138812
2015-03-05,532.500000,545.000000,531.250000,542.549988,503.652008,4851226
2015-03-09,538.525024,540.900024,528.000000,529.500000,491.537598,2877904
2015-03-10,531.000000,531.125000,522.500000,526.275024,488.543823,2567418
2015-03-11,525.450012,530.950012,525.000000,528.224976,490.353973,2732768
2015-03-12,530.049988,531.950012,525.549988,527.299988,489.495331,3765418
2015-03-13,530.000000,532.000000,517.299988,521.325012,483.948700,2713390
2015-03-16,522.500000,528.950012,521.250000,525.775024,488.079712,2674386
2015-03-17,530.000000,532.950012,521.424988,529.025024,491.096649,2684652
2015-03-18,530.075012,535.950012,526.599976,531.775024,493.649536,2574166
2015-03-19,535.500000,536.900024,524.349976,526.099976,488.381317,2686786
2015-03-20,525.500000,529.750000,522.974976,527.950012,490.098724,3241618
2015-03-23,527.974976,529.700012,523.000000,523.875000,486.315887,2723370
2015-03-24,521.650024,528.500000,517.724976,518.974976,481.767151,4486782
